Region,AreaType,Indicator,Total,Male,Female,Transgender
Faisalabad District,Total,Population >=5,7899874,4122606,3776306,962
Faisalabad District,Total,Population >=10,6865192,3592376,3271854,962
Faisalabad District,Total,Literate >=10,5040010,2778247,2261339,424
Faisalabad District,Total,Literate %,73.41,77.34,69.11,44.07
Faisalabad District,Total,Ever Attended,5820738,3186775,2633609,354
Faisalabad District,Total,Primary Completed,822049,439819,382161,69
Faisalabad District,Total,Enrolment Primary,1115324,588120,527198,6
Faisalabad District,Total,Enrolment Middle,504162,263214,240944,4
Faisalabad District,Total,Enrolment Matric,290685,146063,144612,10
Faisalabad District,Total,Enrolment Intermidiate,170808,82554,88246,8
Faisalabad District,Total,Enrolment Graduation above,196671,90435,106228,8
Faisalabad District,Total,Never to School (all),2079136,935831,1142697,608
Faisalabad District,Total,Drop Out (5-16),218304,122543,95747,14
Faisalabad District,Total,Never to School (5-16),260794,124338,136436,20
Faisalabad District,Total,Out of School Children (5-16),479098,246881,232183,34
Faisalabad District,Rural,Population >=5,4049027,2110268,1938467,292
Faisalabad District,Rural,Population >=10,3485007,1820523,1664192,292
Faisalabad District,Rural,Literate >=10,2300947,1306687,994170,90
Faisalabad District,Rural,Literate %,71.78,75.94,66.02,30.82
Faisalabad District,Rural,Ever Attended,2724605,1526577,1197958,70
Faisalabad District,Rural,Primary Completed,421135,223202,197917,16
Faisalabad District,Rural,Enrolment Primary,594540,310183,284356,1
Faisalabad District,Rural,Enrolment Middle,259816,137097,122717,2
Faisalabad District,Rural,Enrolment Matric,137146,70721,66420,5
Faisalabad District,Rural,Enrolment Intermidiate,69929,34545,35380,4
Faisalabad District,Rural,Enrolment Graduation above,59224,26543,32679,2
Faisalabad District,Rural,Never to School (all),1324422,583691,740509,222
Faisalabad District,Rural,Drop Out (5-16),119961,65644,54311,6
Faisalabad District,Rural,Never to School (5-16),166500,81930,84559,11
Faisalabad District,Rural,Out of School Children (5-16),286461,147574,138870,17
Faisalabad District,Urban,Population >=5,3850847,2012338,1837839,670
Faisalabad District,Urban,Population >=10,3380185,1771853,1607662,670
Faisalabad District,Urban,Literate >=10,2739063,1471560,1267169,334
Faisalabad District,Urban,Literate %,81.03,83.05,78.82,49.85
Faisalabad District,Urban,Ever Attended,3096133,1660198,1435651,284
Faisalabad District,Urban,Primary Completed,400914,216617,184244,53
Faisalabad District,Urban,Enrolment Primary,520784,277937,242842,0
Faisalabad District,Urban,Enrolment Middle,244346,126117,118227,2
Faisalabad District,Urban,Enrolment Matric,153539,75342,78192,5
Faisalabad District,Urban,Enrolment Intermidiate,100879,48009,52866,4
Faisalabad District,Urban,Enrolment Graduation above,137447,63892,73549,6
Faisalabad District,Urban,Never to School (all),754714,352140,402188,386
Faisalabad District,Urban,Drop Out (5-16),98343,56899,41436,8
Faisalabad District,Urban,Never to School (5-16),94294,42408,51877,9
Faisalabad District,Urban,Out of School Children (5-16),192637,99307,93313,17
Faisalabad City Tehsil,Total,Population >=5,3238133,1694873,1542662,598
Faisalabad City Tehsil,Total,Population >=10,2845401,1494068,1350735,598
Faisalabad City Tehsil,Total,Literate >=10,2321552,1245938,1075304,310
Faisalabad City Tehsil,Total,Literate %,81.59,83.39,79.61,51.84
Faisalabad City Tehsil,Total,Ever Attended,2615452,1401024,1214166,262
Faisalabad City Tehsil,Total,Primary Completed,333132,181261,151823,48
Faisalabad City Tehsil,Total,Enrolment Primary,433843,231617,202221,5
Faisalabad City Tehsil,Total,Enrolment Middle,203876,105432,98442,2
Faisalabad City Tehsil,Total,Enrolment Matric,127780,62841,64934,5
Faisalabad City Tehsil,Total,Enrolment Intermidiate,85363,40637,44723,3
Faisalabad City Tehsil,Total,Enrolment Graduation above,121432,57225,64201,6
Faisalabad City Tehsil,Total,Never to School (all),622681,293849,328496,336
Faisalabad City Tehsil,Total,Drop Out (5-16),82648,47690,34950,8
Faisalabad City Tehsil,Total,Never to School (5-16),78776,35529,43238,9
Faisalabad City Tehsil,Total,Out of School Children (5-16),161424,83219,78188,17
Faisalabad City Tehsil,Urban,Population >=5,3238133,1694873,1542662,598
Faisalabad City Tehsil,Urban,Population >=10,2845401,1494068,1350735,598
Faisalabad City Tehsil,Urban,Literate >=10,2321552,1245938,1075304,310
Faisalabad City Tehsil,Urban,Literate %,81.59,83.39,79.61,51.84
Faisalabad City Tehsil,Urban,Ever Attended,2615452,1401024,1214166,262
Faisalabad City Tehsil,Urban,Primary Completed,333132,181261,151823,48
Faisalabad City Tehsil,Urban,Enrolment Primary,433843,231617,202221,5
Faisalabad City Tehsil,Urban,Enrolment Middle,203876,105432,98442,2
Faisalabad City Tehsil,Urban,Enrolment Matric,127780,62841,64934,5
Faisalabad City Tehsil,Urban,Enrolment Intermidiate,85363,40637,44723,3
Faisalabad City Tehsil,Urban,Enrolment Graduation above,121432,57225,64201,6
Faisalabad City Tehsil,Urban,Never to School (all),622681,293849,328496,336
Faisalabad City Tehsil,Urban,Drop Out (5-16),82648,47690,34950,8
Faisalabad City Tehsil,Urban,Never to School (5-16),78776,35529,43238,9
Faisalabad City Tehsil,Urban,Out of School Children (5-16),161424,83219,78188,17
Faisalabad Saddar Tehsil,Total,Population >=5,1511873,787461,724304,108
Faisalabad Saddar Tehsil,Total,Population >=10,1310932,684239,626585,108
Faisalabad Saddar Tehsil,Total,Literate >=10,934020,513826,420153,41
Faisalabad Saddar Tehsil,Total,Literate %,71.25,75.09,67.05,37.96
Faisalabad Saddar Tehsil,Total,Ever Attended,1085723,592656,493038,29
Faisalabad Saddar Tehsil,Total,Primary Completed,164877,86601,78269,7
Faisalabad Saddar Tehsil,Total,Enrolment Primary,219029,114403,104625,1
Faisalabad Saddar Tehsil,Total,Enrolment Middle,100050,52145,47905,0
Faisalabad Saddar Tehsil,Total,Enrolment Matric,53609,27051,26557,1
Faisalabad Saddar Tehsil,Total,Enrolment Intermidiate,28985,13768,15215,2
Faisalabad Saddar Tehsil,Total,Enrolment Graduation above,26571,11504,15066,1
Faisalabad Saddar Tehsil,Total,Never to School (all),426150,194805,231266,79
Faisalabad Saddar Tehsil,Total,Drop Out (5-16),43491,24556,18935,1
Faisalabad Saddar Tehsil,Total,Never to School (5-16),50891,26142,24748,1
Faisalabad Saddar Tehsil,Total,Out of School Children (5-16),94382,50698,43683,1
Faisalabad Saddar Tehsil,Rural,Population >=5,1427140,744054,682981,105
Faisalabad Saddar Tehsil,Rural,Population >=10,1236978,646243,590630,105
Faisalabad Saddar Tehsil,Rural,Literate >=10,880083,484997,395047,39
Faisalabad Saddar Tehsil,Rural,Literate %,71.15,75.05,66.89,37.14
Faisalabad Saddar Tehsil,Rural,Ever Attended,1023460,559331,464102,27
Faisalabad Saddar Tehsil,Rural,Primary Completed,155078,81641,73430,7
